ttl,ip,rtt
1,192.168.0.1,125.42510032653809
1,192.168.0.1,59.130191802978516
1,192.168.0.1,55.199623107910156
7,195.22.220.56,75.06489753723145
7,195.22.220.56,63.21072578430176
7,195.22.220.56,74.85604286193848
8,195.22.209.198,270.8098888397217
8,195.22.209.198,267.1632766723633
8,195.22.209.198,267.1513557434082
9,195.66.225.24,279.3734073638916
9,195.66.225.24,275.52294731140137
9,195.66.225.24,263.2002830505371
10,109.105.97.124,275.10523796081543
10,109.105.97.124,291.534423828125
10,109.105.97.124,283.1461429595947
