ttl,ip,rtt
1,192.168.0.1,114.01674326728372
2,10.31.0.1,4.8072380178115
3,10.242.5.137,77.0674186594346
4,192.168.64.66,66.41880250444599
5,200.32.127.101,5.872444545521461
6,4.69.207.33,221.7202621347764
7,213.248.84.80,187.901850307689
8,62.115.113.48,40.127488211089485
9,80.91.246.75,183.64497399797628
12,62.115.116.208,220.78233185936423
13,80.239.130.173,155.7614761240342
14,101.4.114.181,255.7130219889622
15,101.4.114.238,145.34255242815206
16,101.4.115.113,270.23581289777565
17,101.4.118.213,141.2380861542852
18,101.4.0.1,262.7897334791987
19,101.4.0.1,145.2197400035691
20,101.4.0.1,262.8104520537226
21,101.4.0.1,144.68460155548962
22,101.4.0.1,260.41343139586536
23,101.4.0.1,146.25595483206024
24,101.4.0.1,262.28167143441925
25,101.4.0.1,142.25504470887097
26,101.4.0.1,266.69325756011096
27,101.4.0.1,141.08533137065484
28,101.4.0.1,268.7306459889854
29,101.4.0.1,158.77129644123835
30,101.4.0.1,248.84530295959985
