ttl,ip,rtt
1,192.168.0.1,68.03944531609031
2,10.31.0.1,2.055958673065774
3,10.242.2.133,66.0614294164321
4,192.168.64.66,59.91189235695566
5,200.32.127.101,61.65898885082835
7,213.248.84.80,134.21672735858328
8,62.115.120.176,90.88343639716243
9,62.115.112.243,200.17170250868065
10,62.115.123.12,96.89088522935646
11,62.115.142.47,235.3746666556126
12,80.239.135.137,115.24885355973976
14,62.40.98.129,196.35211766218407
15,83.97.88.94,175.50128956183528
16,128.139.191.69,192.89939896276417
17,132.66.4.254,209.87186021355586
18,132.66.1.249,185.04821869981492
19,132.66.1.138,225.74910707024532
20,132.66.11.168,144.36391605190636
21,132.66.11.168,221.36807031182246
22,132.66.11.168,143.3467659403243
23,132.66.11.168,240.51232009635783
24,132.66.11.168,127.6038043746708
25,132.66.11.168,240.015765721663
26,132.66.11.168,141.08636049851395
27,132.66.11.168,225.167309558147
28,132.66.11.168,142.69307919765134
29,132.66.11.168,228.46521071171145
30,132.66.11.168,140.1946750126741
