ttl,ip,rtt
1,192.168.0.1,112.77627944946289
1,192.168.0.1,55.1910400390625
1,192.168.0.1,63.16566467285156
1,192.168.0.1,59.1578483581543
1,192.168.0.1,55.094242095947266
1,192.168.0.1,51.02181434631348
1,192.168.0.1,71.5172290802002
1,192.168.0.1,71.07067108154297
1,192.168.0.1,54.8551082611084
1,192.168.0.1,63.072919845581055
1,192.168.0.1,47.32155799865723
1,192.168.0.1,59.205055236816406
1,192.168.0.1,51.14126205444336
1,192.168.0.1,63.39597702026367
1,192.168.0.1,59.24415588378906
1,192.168.0.1,50.988197326660156
1,192.168.0.1,50.86255073547363
6,181.96.103.168,75.11568069458008
7,195.22.220.56,87.07404136657715
7,195.22.220.56,63.16781044006348
7,195.22.220.56,67.3220157623291
7,195.22.220.56,79.00619506835938
7,195.22.220.56,87.33582496643066
7,195.22.220.56,75.00410079956055
7,195.22.220.56,70.94836235046387
7,195.22.220.56,75.46877861022949
7,195.22.220.56,86.93313598632812
7,195.22.220.56,63.03119659423828
7,195.22.220.56,67.4135684967041
7,195.22.220.56,75.0730037689209
7,195.22.220.56,58.97855758666992
7,195.22.220.56,78.68409156799316
7,195.22.220.56,55.025577545166016
7,195.22.220.56,75.09899139404297
7,195.22.220.56,75.0265121459961
7,195.22.220.56,70.97077369689941
7,195.22.220.56,83.03236961364746
7,195.22.220.56,62.88790702819824
7,195.22.220.56,74.91636276245117
7,195.22.220.56,66.69926643371582
7,195.22.220.56,74.84221458435059
7,195.22.220.56,66.82777404785156
7,195.22.220.56,78.64785194396973
7,195.22.220.56,71.07067108154297
7,195.22.220.56,59.09872055053711
7,195.22.220.56,55.483102798461914
7,195.22.220.56,62.74223327636719
7,195.22.220.56,51.367759704589844
8,89.221.35.145,202.84223556518555
8,89.221.35.145,194.9441432952881
8,89.221.35.145,195.21093368530273
8,89.221.35.145,178.76219749450684
8,89.221.35.145,187.1333122253418
8,89.221.35.145,191.44749641418457
8,89.221.35.145,207.2436809539795
8,89.221.35.145,199.07140731811523
8,89.221.35.145,211.18664741516113
8,89.221.35.145,219.17438507080078
8,89.221.35.145,206.83717727661133
8,89.221.35.145,190.9644603729248
8,89.221.35.145,190.95849990844727
8,89.221.35.145,210.73532104492188
8,89.221.35.145,195.46175003051758
