ttl,ip,rtt
1,192.168.0.1,119.71378326416016
1,192.168.0.1,63.05646896362305
1,192.168.0.1,67.10004806518555
1,192.168.0.1,55.07469177246094
1,192.168.0.1,62.90578842163086
1,192.168.0.1,54.990530014038086
1,192.168.0.1,35.088300704956055
1,192.168.0.1,51.14626884460449
1,192.168.0.1,59.247493743896484
1,192.168.0.1,63.22288513183594
1,192.168.0.1,55.21273612976074
1,192.168.0.1,59.180259704589844
1,192.168.0.1,59.23056602478027
1,192.168.0.1,79.05244827270508
1,192.168.0.1,66.89262390136719
1,192.168.0.1,58.806657791137695
1,192.168.0.1,59.25703048706055
6,181.96.113.234,171.38004302978516
7,195.22.220.56,59.16857719421387
7,195.22.220.56,67.16322898864746
7,195.22.220.56,55.12809753417969
7,195.22.220.56,70.99127769470215
7,195.22.220.56,86.79318428039551
7,195.22.220.56,58.86054039001465
7,195.22.220.56,78.92608642578125
7,195.22.220.56,87.66460418701172
7,195.22.220.56,79.04195785522461
7,195.22.220.56,75.13213157653809
7,195.22.220.56,63.05503845214844
7,195.22.220.56,55.299997329711914
7,195.22.220.56,75.19006729125977
7,195.22.220.56,87.16416358947754
7,195.22.220.56,90.62004089355469
7,195.22.220.56,63.173532485961914
7,195.22.220.56,67.3518180847168
7,195.22.220.56,103.29127311706543
7,195.22.220.56,83.29153060913086
7,195.22.220.56,94.66338157653809
7,195.22.220.56,74.89013671875
7,195.22.220.56,83.11748504638672
7,195.22.220.56,83.03260803222656
7,195.22.220.56,74.99384880065918
7,195.22.220.56,94.63739395141602
7,195.22.220.56,51.427602767944336
7,195.22.220.56,67.35706329345703
7,195.22.220.56,71.15650177001953
7,195.22.220.56,59.12470817565918
7,195.22.220.56,79.3144702911377
8,195.22.209.198,299.2439270019531
8,195.22.209.198,307.0335388183594
8,195.22.209.198,283.03003311157227
8,195.22.209.198,279.03199195861816
8,195.22.209.198,283.10298919677734
8,195.22.209.198,263.0274295806885
8,195.22.209.198,274.80483055114746
8,195.22.209.198,259.3345642089844
8,195.22.209.198,270.7390785217285
8,195.22.209.198,271.3453769683838
8,195.22.209.198,279.39701080322266
8,195.22.209.198,295.1040267944336
8,195.22.209.198,279.01744842529297
8,195.22.209.198,270.78771591186523
8,195.22.209.198,263.1659507751465
8,195.22.209.198,266.9057846069336
8,195.22.209.198,275.5098342895508
8,195.22.209.198,278.95665168762207
8,195.22.209.198,291.3529872894287
8,195.22.209.198,274.9805450439453
8,195.22.209.198,263.3824348449707
8,195.22.209.198,282.86242485046387
8,195.22.209.198,275.0279903411865
8,195.22.209.198,259.0830326080322
8,195.22.209.198,263.20672035217285
8,195.22.209.198,271.04854583740234
8,195.22.209.198,270.83826065063477
8,195.22.209.198,282.86170959472656
8,195.22.209.198,283.4124565124512
8,195.22.209.198,271.07763290405273
9,195.66.225.24,270.66731452941895
9,195.66.225.24,275.4199504852295
9,195.66.225.24,270.8144187927246
9,195.66.225.24,278.9621353149414
9,195.66.225.24,275.1014232635498
9,195.66.225.24,259.16147232055664
9,195.66.225.24,262.9809379577637
9,195.66.225.24,267.50946044921875
9,195.66.225.24,287.2021198272705
9,195.66.225.24,286.7429256439209
9,195.66.225.24,291.46647453308105
9,195.66.225.24,279.1149616241455
9,195.66.225.24,275.12049674987793
9,195.66.225.24,298.9158630371094
9,195.66.225.24,275.01606941223145
9,195.66.225.24,270.2934741973877
9,195.66.225.24,279.4003486633301
9,195.66.225.24,278.61738204956055
9,195.66.225.24,290.68589210510254
9,195.66.225.24,278.6686420440674
9,195.66.225.24,278.8693904876709
9,195.66.225.24,267.0118808746338
9,195.66.225.24,287.1062755584717
9,195.66.225.24,279.50215339660645
9,195.66.225.24,282.9592227935791
9,195.66.225.24,287.17851638793945
9,195.66.225.24,294.79432106018066
9,195.66.225.24,263.0958557128906
9,195.66.225.24,267.498254776001
