ttl,ip,rtt
1,192.168.0.1,116.16873741149902
1,192.168.0.1,66.8935775756836
1,192.168.0.1,83.1289291381836
7,195.22.220.56,99.04122352600098
7,195.22.220.56,59.03148651123047
7,195.22.220.56,87.1880054473877
8,195.22.219.67,94.93279457092285
8,195.22.219.67,99.2431640625
8,195.22.219.67,103.24501991271973
9,149.3.181.65,90.84081649780273
9,149.3.181.65,91.37487411499023
9,149.3.181.65,91.50052070617676
10,129.250.4.202,102.82063484191895
10,129.250.4.202,103.11007499694824
10,129.250.4.202,87.22376823425293
