ttl,ip,rtt
1,192.168.0.1,69.80414951548858
2,10.31.0.1,0.5920910367778589
3,10.242.2.133,71.0027432909199
4,192.168.64.66,69.50132613088572
5,185.70.203.38,67.96362166311228
6,195.22.209.198,203.09420660430305
7,195.66.225.24,124.98751190864078
8,109.105.97.124,193.39639636314877
9,109.105.97.74,124.46100421312485
10,109.105.98.120,168.90243979729183
11,109.105.98.121,122.96468921068345
12,128.39.254.204,183.1151838062189
13,128.39.255.64,143.41935764173843
14,128.39.254.82,154.3133929330093
15,128.39.65.18,161.96326067467703
16,129.240.100.69,137.24502686036556
17,129.240.100.66,158.76965559151841
18,129.240.25.162,131.10559745006685
19,129.240.118.130,166.48391124235667
20,129.240.118.130,130.6057211098365
21,129.240.118.130,169.00948116908995
22,129.240.118.130,164.55979886336394
23,129.240.118.130,133.99079101598988
24,129.240.118.130,211.0804452765313
25,129.240.118.130,93.19924769120144
26,129.240.118.130,199.7349236675429
27,129.240.118.130,95.34522153255068
28,129.240.118.130,221.65448763210406
29,129.240.118.130,99.30292667707971
30,129.240.118.130,204.83617085455683
